,Unnamed: 0,foodID,name,cuisine,course,Regions,isVeg,isSugarFree,isHighProtein,isGluttenFree,isSattvic,isVegan,allergies,totalCaloriesInCal
0,0,1,Masala Karela ,Indian,Side Dish,0,0,1,0,0,0,0,None,106
1,1,2,Spicy Tomato Rice,South Indian ,Main Course,1,1,0,0,0,0,0,peanuts,212
2,2,3,Ragi Semiya Upma  - Ragi Millet Vermicelli Breakfast,South Indian ,South Indian Breakfast,1,1,0,1,0,0,0,None,216
3,3,4,Gongura Chicken Curry  - Andhra Style Gongura Chicken,Andhra,Lunch,2,0,0,0,0,0,0,None,1020
4,4,5,Andhra Style Alam Pachadi  - Adrak Chutney,Andhra,South Indian Breakfast,2,1,0,0,0,0,0,None,41
5,5,6,Pudina Khara Pongal  (Rice and Lentils Cooked With Mint Leaves & Mild Spices),South Indian ,South Indian Breakfast,1,1,0,1,0,0,0,None,212
6,6,7,Udupi Style Ash Gourd Coconut Curry ,Udupi,Lunch,3,1,0,0,0,0,0,None,101
7,7,8,Mexican Style Black Bean Burrito ,Mexican,Lunch,4,1,0,0,0,0,0,lactose,522
8,8,9,Spicy Crunchy Masala Idli ,South Indian ,Snack,1,1,0,0,0,0,0,None,150
9,9,10,Cauliflower Leaves Chutney,South Indian ,Side Dish,1,1,0,0,0,0,0,None,67
10,10,11,Homemade Baked Beans  (Wholesome & Healthy),Fusion,High Protein Vegetarian,5,1,0,0,0,0,0,None,155
11,11,12,Veg Chili Cheese Burgers ,Continental,Main Course,6,1,0,0,0,0,0,lactose,160
12,12,13,Andhra Steel Ingavu Charu  - Asfoitida Flavored Tamarand Rasam,Andhra,Lunch,2,1,0,0,0,0,0,None,63
13,13,14,And fish soup  - Bengali style fish in tomato gravy,Bengali ,Dinner,7,0,0,1,0,0,0,None,232
14,14,15,Saunf Aloo (Fennel Potato Curry) ,Punjabi,Lunch,8,1,0,0,0,0,0,lactose,112
15,15,16,South Indian Onion Chutney  - South Indian Onion Chutney (),South Indian ,Side Dish,1,1,0,0,0,0,0,None,90
16,16,17,Hariyali Egg Curry  In Coriander and Mint Gravy,Indian,Lunch,0,0,0,0,0,0,0,lactose,156
17,17,18,Gourd Raita  - Grated Bottle Gourd Yogurt Salad,Indian,Side Dish,0,1,0,0,0,0,0,None,24
